Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw,Altitude
1741962937.32,-0.097,0.517,-0.220,-0.226,-0.242,0.122,-83.16,-133.07,46.97,-0.20
1741962937.34,-0.260,0.450,-0.167,-0.094,0.586,0.512,-83.32,-136.23,43.79,-0.20
1741962937.36,-0.441,0.149,-0.192,0.073,1.528,0.743,-83.78,-139.79,39.05,-0.20
1741962937.38,-0.495,0.126,-0.217,0.169,2.013,0.616,-84.40,-143.55,33.36,-0.20
1741962937.40,-0.321,0.086,-0.224,0.548,2.089,-0.023,-84.93,-141.33,33.27,-0.20
1741962937.42,-0.083,-0.238,-0.106,1.164,1.903,-0.344,-85.42,-129.21,43.27,-0.20
1741962937.44,0.086,-0.513,-0.005,1.260,1.269,-0.428,-85.71,-107.78,62.98,-0.20
1741962937.46,0.145,-0.433,0.083,0.683,0.077,-0.442,-85.42,-91.34,78.78,-0.20
1741962937.48,0.100,-0.105,0.178,-0.048,-0.620,-0.375,-84.94,-87.67,82.93,-0.20
1741962937.50,0.097,0.166,0.210,-0.581,-0.382,-0.357,-84.52,-92.42,78.87,-0.20
1741962937.52,0.131,0.262,0.154,-0.889,0.368,-0.209,-84.07,-100.65,70.71,-0.20
1741962937.54,0.193,0.147,0.075,-0.814,1.301,0.179,-83.79,-108.88,61.55,-0.20
1741962937.56,0.201,0.054,-0.043,-0.235,2.105,0.391,-83.88,-113.61,54.88,-0.20
1741962937.58,0.202,-0.029,-0.228,0.626,2.554,0.377,-84.37,-110.58,55.23,-0.20
1741962937.60,0.013,-0.039,-0.289,1.047,1.454,0.340,-85.02,-98.36,65.09,-0.20
1741962937.62,-0.061,-0.011,-0.121,0.679,-0.103,0.372,-85.46,-85.40,77.46,-0.20
1741962937.64,-0.008,0.002,0.238,0.246,-0.302,0.205,-85.74,-78.66,84.58,-0.20
1741962937.66,0.069,-0.056,0.336,0.224,-0.355,0.105,-85.84,-75.38,88.25,-0.20
1741962937.68,0.098,-0.088,0.320,0.301,-0.471,0.101,-85.86,-71.26,92.92,-0.20
1741962937.70,0.107,-0.033,0.252,0.064,-0.362,0.083,-85.87,-68.12,96.60,-0.20
1741962937.72,0.113,0.006,0.107,-0.405,-0.133,0.134,-86.05,-70.48,94.56,-0.20
1741962937.74,0.068,0.054,-0.035,-0.500,-0.238,0.216,-86.41,-78.12,87.13,-0.20
1741962937.76,0.001,0.131,-0.067,-0.234,-0.474,0.177,-86.70,-85.04,80.66,-0.41
1741962937.78,-0.029,0.090,-0.019,-0.011,-0.647,0.083,-86.86,-87.74,78.63,-0.41
1741962937.80,-0.038,0.009,0.050,0.035,-0.650,0.057,-86.93,-87.87,79.31,-0.41
1741962937.82,-0.070,-0.033,0.085,-0.074,-0.289,0.103,-87.02,-88.58,79.21,-0.41
1741962937.84,-0.114,-0.033,0.057,-0.237,0.334,0.127,-87.15,-92.18,75.62,-0.41
1741962937.86,-0.126,-0.007,-0.002,-0.253,0.923,0.144,-87.28,-97.77,69.35,-0.41
1741962937.88,-0.060,0.017,-0.035,-0.146,1.441,0.102,-87.38,-101.98,63.80,-0.41
1741962937.90,0.047,0.007,-0.058,-0.048,1.565,0.079,-87.46,-102.76,61.31,-0.41
1741962937.92,0.113,0.003,-0.050,-0.072,1.441,0.075,-87.53,-103.03,59.35,-0.41
1741962937.94,0.133,0.011,-0.043,-0.031,1.230,0.075,-87.60,-103.51,57.36,-0.41
1741962937.96,0.116,-0.004,-0.031,0.046,1.006,0.044,-87.67,-102.34,57.26,-0.41
1741962937.98,0.075,-0.016,-0.002,0.040,0.841,0.019,-87.72,-99.99,58.58,-0.41
1741962938.00,0.052,-0.012,0.022,-0.053,0.851,0.006,-87.73,-99.17,58.46,-0.41
1741962938.02,0.039,-0.006,0.000,-0.107,0.822,-0.004,-87.71,-100.65,56.01,-0.41
1741962938.04,0.032,0.023,-0.011,-0.092,0.719,-0.012,-87.68,-102.50,53.26,-0.41
1741962938.06,0.033,0.041,-0.016,-0.108,0.619,-0.066,-87.62,-104.12,50.88,-0.41
1741962938.08,0.059,0.026,-0.000,-0.097,0.596,-0.107,-87.48,-105.70,48.61,-0.41
1741962938.10,0.063,0.018,0.039,-0.003,0.622,-0.132,-87.34,-105.47,48.13,-0.41
1741962938.12,0.061,0.003,0.039,0.042,0.659,-0.148,-87.19,-103.19,49.66,-0.41
1741962938.14,0.056,0.004,0.009,-0.018,0.693,-0.146,-87.03,-101.38,50.68,-0.41
1741962938.16,0.052,0.007,0.026,-0.014,0.682,-0.136,-86.86,-100.51,50.75,-0.41
1741962938.18,0.035,0.033,0.078,0.033,0.696,-0.093,-86.73,-99.15,51.31,-0.41
1741962938.20,0.016,0.042,0.103,0.118,0.742,-0.002,-86.69,-96.74,52.88,-0.41
1741962938.22,-0.038,0.019,0.071,0.169,0.856,0.042,-86.73,-92.92,55.77,-0.41
1741962938.24,-0.128,0.003,-0.023,0.158,1.206,-0.025,-86.75,-88.46,59.06,-0.41
1741962938.26,-0.152,0.031,-0.104,0.237,1.795,-0.159,-86.64,-83.25,62.54,-0.41
1741962938.28,-0.030,0.065,-0.107,0.459,2.477,-0.203,-86.34,-75.36,67.97,-0.41
1741962938.30,0.097,0.065,-0.119,0.815,3.008,0.024,-85.96,-62.83,77.32,-0.41
1741962938.32,0.101,0.038,-0.154,1.099,3.211,0.357,-85.49,-45.32,91.24,-0.41
1741962938.34,-0.000,0.001,-0.130,1.078,2.948,0.450,-84.76,-28.23,104.77,-0.41
1741962938.36,-0.127,0.030,-0.045,0.922,2.287,0.298,-83.88,-16.71,113.27,-0.41
1741962938.38,-0.225,0.034,0.111,0.828,1.709,-0.000,-82.94,-10.91,116.75,-0.41
1741962938.40,-0.286,-0.014,0.216,0.716,1.308,-0.216,-82.05,-9.10,116.77,-0.41
1741962938.42,-0.288,-0.051,0.058,0.511,0.562,-0.388,-81.28,-9.49,115.12,-0.41
1741962938.44,-0.199,-0.115,-0.084,-0.053,-0.350,-0.417,-80.88,-12.08,112.33,-0.41
1741962938.46,0.057,-0.181,0.205,-0.652,-0.583,-0.296,-81.25,-15.83,108.99,-0.41
1741962938.48,0.387,-0.212,0.372,-0.670,-0.485,-0.254,-81.90,-20.21,105.10,-0.41
1741962938.50,0.530,-0.233,0.331,-0.653,-0.064,-0.021,-82.52,-23.68,101.84,-0.41
1741962938.52,0.407,-0.203,0.223,-0.720,0.645,0.067,-83.25,-25.67,99.38,-0.41
1741962938.54,0.210,-0.115,0.079,-0.748,0.833,0.092,-84.05,-27.38,96.65,-0.41
